               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11016,            0.027241,                   0,              0.0025,             0.17143,           0.0024034,          0.00060381,            0.053733,            0.017679,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.086559,            0.021462,                   0,           0.0084068,             0.45714,            0.072215,            0.015224,            0.050654,            0.011854,                   0,            0.055577,           0.0045766,           0.0045766
                   2,            0.074823,            0.019722,                   0,             0.53545,                 0.4,             0.37915,             0.10886,            0.047056,            0.010536,                   0,            0.032423,           0.0064232,           0.0064232
                   3,            0.065517,            0.020201,                   0,             0.52711,                 0.4,             0.45544,              0.1847,            0.046565,           0.0080206,                   0,           0.0089398,           0.0079398,           0.0079398
                   4,            0.060465,            0.017774,                   0,             0.56072,             0.51429,             0.56177,               0.167,            0.033261,           0.0082906,                   0,             0.00736,             0.00736,             0.00736
                   5,            0.054239,            0.017389,                   0,             0.41075,             0.57768,             0.48771,             0.16626,            0.034192,           0.0079175,                   0,             0.00736,             0.00736,             0.00736
                   6,             0.05067,            0.015361,                   0,             0.79385,                 0.8,             0.86782,             0.36331,            0.028566,           0.0072048,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.048001,            0.015251,                   0,             0.56113,             0.97143,             0.74708,             0.34656,            0.025511,           0.0061376,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.043327,            0.013766,                   0,             0.95239,             0.85714,             0.95936,             0.44217,            0.027339,           0.0057821,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.041824,            0.012612,                   0,             0.82515,             0.94385,             0.94124,             0.46296,            0.023372,           0.0055934,                   0,             0.00472,             0.00472,             0.00472
                  10,             0.03952,            0.011686,                   0,             0.91747,               0.953,             0.98787,             0.56198,            0.020763,           0.0049749,                   0,             0.00406,             0.00406,             0.00406
                  11,             0.03875,            0.010797,                   0,             0.97473,             0.91429,             0.98641,             0.54192,            0.019299,           0.0047958,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.035244,            0.010391,                   0,             0.91799,             0.95958,             0.98396,             0.57475,            0.019381,            0.004181,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.034366,            0.010295,                   0,             0.92062,             0.99426,             0.99342,             0.55267,            0.019189,           0.0040577,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.033425,           0.0099416,                   0,             0.97022,             0.93099,             0.99171,             0.59428,             0.01788,           0.0041704,                   0,             0.00142,             0.00142,             0.00142
